vote;class;religion;election;Freq
1;1;1;1;37
2;1;1;1;5
1;2;1;1;19
2;2;1;1;4
1;3;1;1;30
2;3;1;1;4
1;4;1;1;22
2;4;1;1;8
1;5;1;1;38
2;5;1;1;9
1;6;1;1;38
2;6;1;1;6
1;1;2;1;20
2;1;2;1;11
1;2;2;1;20
2;2;2;1;3
1;3;2;1;8
2;3;2;1;1
1;4;2;1;8
2;4;2;1;6
1;5;2;1;33
2;5;2;1;16
1;6;2;1;33
2;6;2;1;37
1;1;3;1;10
2;1;3;1;15
1;2;3;1;22
2;2;3;1;18
1;3;3;1;7
2;3;3;1;9
1;4;3;1;24
2;4;3;1;30
1;5;3;1;43
2;5;3;1;55
1;6;3;1;40
2;6;3;1;104
1;1;4;1;0
2;1;4;1;4
1;2;4;1;2
2;2;4;1;3
1;3;4;1;2
2;3;4;1;3
1;4;4;1;1
2;4;4;1;4
1;5;4;1;3
2;5;4;1;6
1;6;4;1;5
2;6;4;1;28
1;1;1;2;86
2;1;1;2;4
1;2;1;2;52
2;2;1;2;0
1;3;1;2;47
2;3;1;2;2
1;4;1;2;80
2;4;1;2;20
1;5;1;2;113
2;5;1;2;31
1;6;1;2;55
2;6;1;2;18
1;1;2;2;57
2;1;2;2;13
1;2;2;2;35
2;2;2;2;5
1;3;2;2;19
2;3;2;2;9
1;4;2;2;45
2;4;2;2;24
1;5;2;2;90
2;5;2;2;53
1;6;2;2;53
2;6;2;2;54
1;1;3;2;69
2;1;3;2;29
1;2;3;2;106
2;2;3;2;45
1;3;3;2;67
2;3;3;2;29
1;4;3;2;118
2;4;3;2;118
1;5;3;2;212
2;5;3;2;258
1;6;3;2;144
2;6;3;2;333
1;1;4;2;3
2;1;4;2;8
1;2;4;2;9
2;2;4;2;9
1;3;4;2;17
2;3;4;2;31
1;4;4;2;16
2;4;4;2;78
1;5;4;2;23
2;5;4;2;72
1;6;4;2;15
2;6;4;2;102
1;1;1;3;61
2;1;1;3;11
1;2;1;3;22
2;2;1;3;11
1;3;1;3;32
2;3;1;3;7
1;4;1;3;59
2;4;1;3;21
1;5;1;3;79
2;5;1;3;55
1;6;1;3;31
2;6;1;3;37
1;1;2;3;34
2;1;2;3;13
1;2;2;3;27
2;2;2;3;16
1;3;2;3;20
2;3;2;3;10
1;4;2;3;42
2;4;2;3;37
1;5;2;3;79
2;5;2;3;85
1;6;2;3;40
2;6;2;3;69
1;1;3;3;49
2;1;3;3;34
1;2;3;3;60
2;2;3;3;59
1;3;3;3;51
2;3;3;3;61
1;4;3;3;98
2;4;3;3;159
1;5;3;3;145
2;5;3;3;317
1;6;3;3;88
2;6;3;3;318
1;1;4;3;2
2;1;4;3;6
1;2;4;3;7
2;2;4;3;10
1;3;4;3;3
2;3;4;3;37
1;4;4;3;8
2;4;4;3;70
1;5;4;3;12
2;5;4;3;81
1;6;4;3;10
2;6;4;3;84
1;1;1;4;50
2;1;1;4;4
1;2;1;4;30
2;2;1;4;5
1;3;1;4;33
2;3;1;4;12
1;4;1;4;63
2;4;1;4;17
1;5;1;4;73
2;5;1;4;18
1;6;1;4;31
2;6;1;4;17
1;1;2;4;35
2;1;2;4;11
1;2;2;4;37
2;2;2;4;5
1;3;2;4;32
2;3;2;4;13
1;4;2;4;58
2;4;2;4;24
1;5;2;4;89
2;5;2;4;52
1;6;2;4;43
2;6;2;4;40
1;1;3;4;28
2;1;3;4;18
1;2;3;4;98
2;2;3;4;27
1;3;3;4;52
2;3;3;4;58
1;4;3;4;114
2;4;3;4;122
1;5;3;4;186
2;5;3;4;196
1;6;3;4;116
2;6;3;4;196
1;1;4;4;5
2;1;4;4;3
1;2;4;4;16
2;2;4;4;14
1;3;4;4;10
2;3;4;4;56
1;4;4;4;20
2;4;4;4;91
1;5;4;4;44
2;5;4;4;59
1;6;4;4;26
2;6;4;4;95
